Question,ExpectedAnswer
How many users who had their first loss placed a second trade within 72 hours (revenge trading)?,"SELECT COUNT(*) AS revenge_traders FROM interventions WHERE next_trade_date IS NOT NULL AND DATEDIFF(next_trade_date, DATE(sent_at)) <= 3"
What was the P&L outcome of the second trade for users who traded within 72 hours of their first loss?,"SELECT ROUND(AVG(t2.pnl_pct), 2) AS avg_pnl_pct, COUNT(*) AS users FROM interventions i JOIN options_trades t1 ON i.user_id = t1.user_id AND t1.is_first_loss = TRUE JOIN options_trades t2 ON i.user_id = t2.user_id AND t2.trade_date > t1.close_date AND t2.close_date IS NOT NULL WHERE i.next_trade_date IS NOT NULL AND DATEDIFF(i.next_trade_date, DATE(i.sent_at)) <= 3 ORDER BY t2.trade_date LIMIT 1"
Which features did retained users use in the 7 days after their first loss that churned users did not?,"SELECT f.feature_name, COUNT(DISTINCT CASE WHEN i.day30_retained = TRUE THEN f.user_id END) AS retained_users, COUNT(DISTINCT CASE WHEN i.day30_retained = FALSE THEN f.user_id END) AS churned_users FROM interventions i JOIN feature_usage f ON i.user_id = f.user_id AND f.used_at BETWEEN i.sent_at AND i.sent_at + INTERVAL '7 days' GROUP BY f.feature_name ORDER BY retained_users DESC"
How many users used the Greeks viewer within 7 days of their first loss?,"SELECT COUNT(DISTINCT f.user_id) FROM interventions i JOIN feature_usage f ON i.user_id = f.user_id AND f.feature_name = 'GREEKS_VIEWER' AND f.used_at BETWEEN i.sent_at AND i.sent_at + INTERVAL '7 days'"
What is the retention rate for users who used the payoff chart after their first loss vs those who did not?,"SELECT used_payoff_chart, ROUND(100.0 * SUM(CASE WHEN day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM (SELECT i.user_id, i.day30_retained, MAX(CASE WHEN f.feature_name = 'PAYOFF_CHART' THEN 1 ELSE 0 END) AS used_payoff_chart FROM interventions i LEFT JOIN feature_usage f ON i.user_id = f.user_id AND f.used_at BETWEEN i.sent_at AND i.sent_at + INTERVAL '7 days' GROUP BY i.user_id, i.day30_retained) sub GROUP BY used_payoff_chart"
How many users opened the app at least once in the 72 hours after their first loss?,"SELECT COUNT(DISTINCT s.user_id) FROM interventions i JOIN user_sessions s ON i.user_id = s.user_id AND s.session_start BETWEEN i.sent_at AND i.sent_at + INTERVAL '3 days'"
What is the retention rate broken down by user city tier?,"SELECT u.city_tier, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN i.day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions i JOIN users u ON i.user_id = u.user_id GROUP BY u.city_tier ORDER BY u.city_tier"
What is the retention rate for Tier 1 vs Tier 2 vs Tier 3 city users?,"SELECT CASE u.city_tier WHEN 1 THEN 'Tier 1 - Metro' WHEN 2 THEN 'Tier 2 - Mid-size' ELSE 'Tier 3 - Small town' END AS city_tier_label, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN i.day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions i JOIN users u ON i.user_id = u.user_id GROUP BY u.city_tier ORDER BY u.city_tier"
Compare retention rates for users whose first loss was a naked position vs a spread strategy?,"SELECT t.strategy, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN i.day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions i JOIN options_trades t ON i.user_id = t.user_id AND t.is_first_loss = TRUE GROUP BY t.strategy ORDER BY retention_pct DESC"
What is the retention rate for CALL buyers vs PUT buyers on their first loss?,"SELECT t.option_type, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN i.day30_retained = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions i JOIN options_trades t ON i.user_id = t.user_id AND t.is_first_loss = TRUE WHERE t.position_type = 'BUY' GROUP BY t.option_type"
Which symbols have the highest first-loss rate (most first trades that result in a loss)?,"SELECT symbol, COUNT(*) AS first_trades, SUM(CASE WHEN is_first_loss = TRUE THEN 1 ELSE 0 END) AS first_losses, ROUND(100.0 * SUM(CASE WHEN is_first_loss = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS first_loss_rate_pct FROM options_trades WHERE is_first_trade = TRUE AND close_date IS NOT NULL GROUP BY symbol ORDER BY first_loss_rate_pct DESC LIMIT 10"
What percentage of first-trade users chose NIFTY vs BANKNIFTY vs individual stocks?,"SELECT symbol, COUNT(*) AS users, ROUND(100.0 * COUNT(*) / SUM(COUNT(*)) OVER (), 2) AS pct_of_first_trades FROM options_trades WHERE is_first_trade = TRUE GROUP BY symbol ORDER BY users DESC"
How many users in this week's cohort are eligible for intervention (minimum cohort size check)?,"SELECT COUNT(DISTINCT user_id) AS cohort_size, CASE WHEN COUNT(DISTINCT user_id) >= 200 THEN 'SUFFICIENT - Run experiment' ELSE 'INSUFFICIENT - Hold experiment' END AS status FROM options_trades WHERE is_first_loss = TRUE AND close_date >= DATE_TRUNC('week', CURRENT_DATE)"
Show the experiment results summary for each cohort week in the last 3 months,"SELECT cohort_week, COUNT(*) AS cohort_size, SUM(CASE WHEN day30_retained THEN 1 ELSE 0 END) AS retained, ROUND(100.0 * SUM(CASE WHEN day30_retained THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct, MAX(message_framing) AS winning_framing FROM interventions WHERE cohort_week >= CURRENT_DATE - INTERVAL '3 months' GROUP BY cohort_week ORDER BY cohort_week DESC"
Which cohort week had the best Day-30 retention rate?,"SELECT cohort_week, ROUND(100.0 * SUM(CASE WHEN day30_retained THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions GROUP BY cohort_week ORDER BY retention_pct DESC LIMIT 1"
What was the intervention combination (framing + timing + feature) used in the best-performing cohort week?,"SELECT cohort_week, message_framing, intervention_type, feature_suggested, cooling_off_shown, ROUND(100.0 * SUM(CASE WHEN day30_retained THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions GROUP BY cohort_week, message_framing, intervention_type, feature_suggested, cooling_off_shown ORDER BY retention_pct DESC LIMIT 5"
Which users had a first loss but received no intervention (control group)?,"SELECT COUNT(*) AS control_group_size FROM options_trades t LEFT JOIN interventions i ON t.user_id = i.user_id WHERE t.is_first_loss = TRUE AND i.user_id IS NULL"
What is the baseline Day-30 retention rate with no intervention (control group)?,"SELECT ROUND(100.0 * COUNT(DISTINCT t2.user_id) / COUNT(DISTINCT t1.user_id), 2) AS baseline_retention_pct FROM options_trades t1 LEFT JOIN interventions i ON t1.user_id = i.user_id LEFT JOIN options_trades t2 ON t1.user_id = t2.user_id AND t2.trade_date > t1.close_date AND t2.trade_date <= t1.close_date + INTERVAL '30 days' WHERE t1.is_first_loss = TRUE AND i.user_id IS NULL AND t1.close_date IS NOT NULL"
How many users who set an alert on a symbol never actually traded that symbol?,"SELECT COUNT(DISTINCT a.user_id) FROM alerts a LEFT JOIN options_trades t ON a.user_id = t.user_id AND t.symbol = a.symbol WHERE t.trade_id IS NULL AND a.triggered_at IS NOT NULL"
What percentage of alerts that triggered led to an actual trade within 1 hour?,"SELECT ROUND(100.0 * SUM(CASE WHEN trade_placed_after = TRUE THEN 1 ELSE 0 END) / COUNT(*), 2) AS conversion_pct FROM alerts WHERE triggered_at IS NOT NULL"
How many retained users used paper trading mode after their first loss?,"SELECT COUNT(DISTINCT f.user_id) FROM interventions i JOIN feature_usage f ON i.user_id = f.user_id AND f.feature_name = 'PAPER_TRADING' AND f.used_at BETWEEN i.sent_at AND i.sent_at + INTERVAL '30 days' WHERE i.day30_retained = TRUE"
What is the average days-to-expiry at which users enter their first losing trade?,"SELECT ROUND(AVG(days_to_expiry), 1) AS avg_dte FROM options_trades WHERE is_first_loss = TRUE"
Show me users who churned after first loss (not retained) but are still opening the app passively,"SELECT COUNT(DISTINCT s.user_id) AS passive_churned_users FROM interventions i JOIN user_sessions s ON i.user_id = s.user_id AND s.session_date > DATE(i.sent_at) + 30 WHERE i.day30_retained = FALSE"
What is the retention rate split by user platform (app vs web)?,"SELECT u.platform, COUNT(*) AS users, ROUND(100.0 * SUM(CASE WHEN i.day30_retained THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions i JOIN users u ON i.user_id = u.user_id GROUP BY u.platform"
List the top 10 users by total premium lost across all trades in the last 90 days,"SELECT user_id, ROUND(SUM(ABS(realized_pnl)), 2) AS total_loss_inr, COUNT(*) AS total_trades FROM options_trades WHERE realized_pnl < 0 AND close_date >= CURRENT_DATE - INTERVAL '90 days' GROUP BY user_id ORDER BY total_loss_inr DESC LIMIT 10"
How many users graduated from naked positions to using spreads after their first loss?,"SELECT COUNT(DISTINCT t2.user_id) FROM options_trades t1 JOIN options_trades t2 ON t1.user_id = t2.user_id AND t2.trade_date > t1.close_date WHERE t1.is_first_loss = TRUE AND t1.strategy = 'NAKED' AND t2.strategy IN ('SPREAD', 'IRON_CONDOR', 'STRADDLE', 'STRANGLE')"
What is the week-over-week trend in first-loss Day-30 retention over the last 12 weeks?,"SELECT cohort_week, COUNT(*) AS cohort_size, ROUND(100.0 * SUM(CASE WHEN day30_retained THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions WHERE cohort_week >= CURRENT_DATE - INTERVAL '12 weeks' GROUP BY cohort_week ORDER BY cohort_week"
Which experiment variant should we run next week based on last 4 weeks of data?,"SELECT message_framing, intervention_type, feature_suggested, cooling_off_shown, COUNT(*) AS total_users, ROUND(100.0 * SUM(CASE WHEN day30_retained THEN 1 ELSE 0 END) / COUNT(*), 2) AS retention_pct FROM interventions WHERE cohort_week >= CURRENT_DATE - INTERVAL '4 weeks' GROUP BY message_framing, intervention_type, feature_suggested, cooling_off_shown ORDER BY retention_pct DESC LIMIT 3"
Give me a full experiment dashboard: cohort size, retention by framing, retention by timing, retention by feature, and overall this week vs last week,"SELECT 'This week' AS period, COUNT(*) AS cohort_size, ROUND(100.0 * SUM(CASE WHEN day30_retained THEN 1 ELSE 0 END) / COUNT(*), 2) AS overall_retention FROM interventions WHERE cohort_week = DATE_TRUNC('week', CURRENT_DATE) UNION ALL SELECT 'Last week', COUNT(*), ROUND(100.0 * SUM(CASE WHEN day30_retained THEN 1 ELSE 0 END) / COUNT(*), 2) FROM interventions WHERE cohort_week = DATE_TRUNC('week', CURRENT_DATE) - INTERVAL '1 week'"
